term,matched_DOID,num matched DOID,code
22q11.2,"chromosome 22q11.2 deletion syndrome, distal___DOID_0060413",3,DOID:0060413
22q11.2,digeorge syndrome___DOID_11198,3,DOID:11198
22q11.2,chromosome 22q11.2 microduplication syndrome___DOID_0060436,3,DOID:0060436
22q11.2ds,,0,
AS symptom,,0,
AS symptoms,,0,
Adalimumab,,0,
Amitriptyline,,0,
Analgesics,,0,
Ankylosing,,0,
AnkylosingSpondylitis,,0,
Anticonvulsant,,0,
Antiepileptic,,0,
Axial SpA,,0,
Back Pain,,0,
Biologics - Humira,,0,
Bowel disease,,0,
Brain atrophy,,0,
CFS,,0,
CRPSRSD,,0,
Carbamazepine,,0,
Central PSP,,0,
Central-PSP,,0,
Central-post-stroke-pain,,0,
Central-post-stroke-pain-syndrome,,0,
CentralPSP,,0,
Centralpoststrokepain,,0,
Centralpoststrokepainsyndrome,,0,
Cerolizumab,,0,
Cimzia,,0,
Cingulotomy,,0,
Cosentyx,,0,
DAI brain injury,,0,
DAIbraininjury,,0,
DMARDs,,0,
Dejerine Roussy,,0,
Dejerine-Roussy,,0,
Dejerine-Roussy-syndrome,,0,
Dejerine-Roussy-syndrome-treatment,,0,
Dejerine-Roussy-treatment,,0,
DejerineRoussy,,0,
DejerineRoussysyndrome,,0,
DejerineRoussysyndrometreatment,,0,
DejerineRoussytreatment,,0,
Disease modifying,,0,
Enbrel,,0,
Etanercept,,0,
Fluvoxamine,,0,
Golimumab,,0,
I have mono,,0,
I have ms,,0,
IBS,,0,
Infliximab,,0,
Lamotrigine,,0,
Lateral-Medullary,,0,
Lateral-Medullary-Infarction,,0,
LateralMedullary,,0,
LateralMedullaryInfarction,,0,
Levetiracetam,,0,
MCA infarction,,0,
MCA infection,,0,
MCA stroke,,0,
Medullary Infection,,0,
Medullary syndrome,,0,
Methylprednisolone,,0,
Motor cortex stimulation,,0,
NSAIDS,,0,
Neuropathic pain,,0,
Neuropathic-pain,,0,
Neuropathic-pain-syndrome,,0,
Neuropathicpain,,0,
Neuropathicpainsyndrome,,0,
Osteoarthritis,,0,
Painkillers,,0,
Phenytoin,,0,
Prednisone,,0,
Pregabalin,,0,
RSD,,0,
Remicade,,0,
Rheumatoid,,0,
Secukinumab,,0,
Simponi,,0,
Spondyloarthritis,,0,
Thalamic lesions,,0,
Thalamic-lesions,,0,
Thalamiclesions,,0,
